sample	donor	date	staining	file_name	genotype_id
kaks_111114	kaks	111114	CD14+CD16+CD206	kaks_111114_CD14+CD16+CD206.fcs	HPSI0713i-kaks_3
kaks_111114	kaks	111114	isotype	kaks_111114_isotype.fcs	HPSI0713i-kaks_3
kehc_050815	kehc	050815	CD14+CD16+CD206	kehc_050815_CD14+CD16+CD206.fcs	HPSI0214i-kehc_2
kehc_050815	kehc	050815	isotype	kehc_050815_isotype.fcs	HPSI0214i-kehc_2
kehc_210715	kehc	210715	CD14+CD16+CD206	kehc_210715_CD14+CD16+CD206.fcs	HPSI0214i-kehc_2
kehc_210715	kehc	210715	isotype	kehc_210715_isotype.fcs	HPSI0214i-kehc_2
kucg_281015	kucg	281015	CD14+CD16+CD206	kucg_281015_CD14+CD16+CD206.fcs	HPSI0214i-kucg_2
kucg_281015	kucg	281015	isotype	kucg_281015_isotype.fcs	HPSI0214i-kucg_2
kuxp_210715	kuxp	210715	CD14+CD16+CD206	kuxp_210715_CD14+CD16+CD206.fcs	HPSI1013i-kuxp_1
kuxp_210715	kuxp	210715	isotype	kuxp_210715_isotype.fcs	HPSI1013i-kuxp_1
lexy_300715	lexy	300715	CD14+CD16+CD206	lexy_300715_CD14+CD16+CD206.fcs	HPSI0114i-lexy_1
lexy_300715	lexy	300715	isotype	lexy_300715_isotype.fcs	HPSI0114i-lexy_1
liun_160614	liun	160614	CD14+CD16+CD206	liun_160614_CD14+CD16+CD206.fcs	HPSI0613i-liun_2
liun_160614	liun	160614	isotype	liun_160614_isotype.fcs	HPSI0613i-liun_2
liun_200614	liun	200614	CD14+CD16+CD206	liun_200614_CD14+CD16+CD206.fcs	HPSI0613i-liun_2
liun_200614	liun	200614	isotype	liun_200614_isotype.fcs	HPSI0613i-liun_2
meqo_271114	meqo	271114	CD14+CD16+CD206	meqo_271114_CD14+CD16+CD206.fcs	HPSI0813i-meqo_3
meqo_271114	meqo	271114	isotype	meqo_271114_isotype.fcs	HPSI0813i-meqo_3
mijn_140515	mijn	140515	CD14+CD16+CD206	mijn_140515_CD14+CD16+CD206.fcs	HPSI1013i-mijn_2
mijn_140515	mijn	140515	isotype	mijn_140515_isotype.fcs	HPSI1013i-mijn_2
nemb_270715	nemb	270715	CD14+CD16+CD206	nemb_270715_CD14+CD16+CD206.fcs	HPSI0713i-nemb_1
nemb_270715	nemb	270715	isotype	nemb_270715_isotype.fcs	HPSI0713i-nemb_1
nibo_020415	nibo	020415	CD14+CD16+CD206	nibo_020415_CD14+CD16+CD206.fcs	HPSI1113i-nibo_2
nibo_020415	nibo	020415	isotype	nibo_020415_isotype.fcs	HPSI1113i-nibo_2
nukw_031115	nukw	031115	CD14+CD16+CD206	nukw_031115_CD14+CD16+CD206.fcs	HPSI0613i-nukw_1
nukw_031115	nukw	031115	isotype	nukw_031115_isotype.fcs	HPSI0613i-nukw_1
nukw_281015	nukw	281015	CD14+CD16+CD206	nukw_281015_CD14+CD16+CD206.fcs	HPSI0613i-nukw_1
nukw_281015	nukw	281015	isotype	nukw_281015_isotype.fcs	HPSI0613i-nukw_1
nusw_080415	nusw	080415	CD14+CD16+CD206	nusw_080415_CD14+CD16+CD206.fcs	HPSI1213i-nusw_2
nusw_080415	nusw	080415	isotype	nusw_080415_isotype.fcs	HPSI1213i-nusw_2
oapg_270715	oapg	270715	CD14+CD16+CD206	oapg_270715_CD14+CD16+CD206.fcs	HPSI0913i-oapg_5
oapg_270715	oapg	270715	isotype	oapg_270715_isotype.fcs	HPSI0913i-oapg_5
oarz_111114	oarz	111114	CD14+CD16+CD206	oarz_111114_CD14+CD16+CD206.fcs	HPSI0513i-oarz_2
oarz_111114	oarz	111114	isotype	oarz_111114_isotype.fcs	HPSI0513i-oarz_2
oefg_280415	oefg	280415	CD14+CD16+CD206	oefg_280415_CD14+CD16+CD206.fcs	HPSI0613i-oefg_2
oefg_280415	oefg	280415	isotype	oefg_280415_isotype.fcs	HPSI0613i-oefg_2
oeoo_190914	oeoo	190914	CD14+CD16+CD206	oeoo_190914_CD14+CD16+CD206.fcs	HPSI0513i-oeoo_2
oeoo_190914	oeoo	190914	isotype	oeoo_190914_isotype.fcs	HPSI0513i-oeoo_2
oevr_161015	oevr	161015	CD14+CD16+CD206	oevr_161015_CD14+CD16+CD206.fcs	HPSI0114i-oevr_3
oevr_161015	oevr	161015	isotype	oevr_161015_isotype.fcs	HPSI0114i-oevr_3
oevr_201015	oevr	201015	CD14+CD16+CD206	oevr_201015_CD14+CD16+CD206.fcs	HPSI0114i-oevr_3
oevr_201015	oevr	201015	isotype	oevr_201015_isotype.fcs	HPSI0114i-oevr_3
oomz_160614	oomz	160614	CD14+CD16+CD206	oomz_160614_CD14+CD16+CD206.fcs	HPSI0613i-oomz_2
oomz_160614	oomz	160614	isotype	oomz_160614_isotype.fcs	HPSI0613i-oomz_2
oomz_200614	oomz	200614	CD14+CD16+CD206	oomz_200614_CD14+CD16+CD206.fcs	HPSI0613i-oomz_2
oomz_200614	oomz	200614	isotype	oomz_200614_isotype.fcs	HPSI0613i-oomz_2
ougl_020415	ougl	020415	CD14+CD16+CD206	ougl_020415_CD14+CD16+CD206.fcs	HPSI0413i-ougl_3
ougl_020415	ougl	020415	isotype	ougl_020415_isotype.fcs	HPSI0413i-ougl_3
ougl_200514	ougl	200514	CD14+CD16+CD206	ougl_200514_CD14+CD16+CD206.fcs	HPSI0413i-ougl_3
ougl_200514	ougl	200514	isotype	ougl_200514_isotype.fcs	HPSI0413i-ougl_3
pahc_050515	pahc	050515	CD14+CD16+CD206	pahc_050515_CD14+CD16+CD206.fcs	HPSI1213i-pahc_4
pahc_050515	pahc	050515	isotype	pahc_050515_isotype.fcs	HPSI1213i-pahc_4
pamv_270715	pamv	270715	CD14+CD16+CD206	pamv_270715_CD14+CD16+CD206.fcs	HPSI1013i-pamv_3
pamv_270715	pamv	270715	isotype	pamv_270715_isotype.fcs	HPSI1013i-pamv_3
